field_id,date,valid_frac,ndvi,ndre,cire,s2rep,ndre_seg_std,n_segments
FLD0054,2025-06-02,0.5248,0.4550,0.3215,0.8905,720.8570,0.0450,16.0000
FLD0055,2025-06-02,0.7852,0.5667,0.3913,1.3377,721.4418,0.0952,21.0000
FLD0056,2025-06-02,0.8780,0.6469,0.4299,1.4192,720.4118,0.0448,11.0000
FLD0057,2025-06-02,0.8442,0.5377,0.3574,1.0627,719.9866,0.0459,17.0000
FLD0058,2025-06-02,0.9961,0.4528,0.3107,0.8641,721.2280,0.0350,24.0000
FLD0059,2025-06-02,0.7778,0.3577,0.2430,0.6194,720.2454,0.0317,7.0000
FLD0060,2025-06-02,0.8036,0.3898,0.2606,0.6835,719.6707,0.0230,2.0000
FLD0061,2025-06-02,0.8966,0.4814,0.3225,0.9026,719.6452,0.0313,5.0000
FLD0063,2025-06-02,0.5919,0.4932,0.3386,0.9978,720.6604,0.0634,17.0000
FLD0064,2025-06-02,1.0000,0.4497,0.2760,0.7295,720.2970,0.0256,5.0000
FLD0065,2025-06-02,1.0000,0.5543,0.3770,1.2316,721.5859,0.0714,12.0000
FLD0066,2025-06-02,0.8960,0.5768,0.4038,1.3623,721.1308,0.0706,40.0000
FLD0084,2025-06-02,0.6758,0.7720,0.5048,1.9999,721.1363,0.0821,15.0000
FLD0085,2025-06-02,0.9871,0.6692,0.4734,1.8371,723.2467,0.0832,35.0000
FLD0087,2025-06-02,1.0000,0.6800,0.4623,1.7339,721.4600,0.0824,41.0000
FLD0088,2025-06-02,0.5152,0.5019,0.3719,1.1372,722.6647,0.0455,15.0000
FLD0090,2025-06-02,1.0000,0.5547,0.4219,1.4147,724.0220,0.0727,9.0000
FLD0091,2025-06-02,0.7507,0.4758,0.3542,1.0420,722.4601,0.0379,10.0000
FLD0096,2025-06-02,0.9220,0.5571,0.3973,1.2814,722.4756,0.0541,12.0000
FLD0097,2025-06-02,1.0000,0.7605,0.5084,2.0271,722.1434,0.0613,8.0000
FLD0098,2025-06-02,0.7091,0.7390,0.5428,2.5603,724.6965,0.1177,16.0000
FLD0100,2025-06-02,1.0000,0.6592,0.4011,1.2655,718.6744,,1.0000
FLD0101,2025-06-02,1.0000,0.6080,0.4084,1.2760,722.0130,0.0431,2.0000
FLD0102,2025-06-02,0.6522,0.8384,0.5762,2.5563,723.4627,,1.0000
FLD0110,2025-06-02,0.6034,0.7431,0.5077,1.9674,721.5089,0.0571,6.0000
FLD0112,2025-06-02,0.5616,0.7371,0.5047,2.1132,721.8551,0.0847,31.0000
FLD0113,2025-06-02,0.6721,0.7412,0.5155,2.2023,723.1369,0.0944,16.0000
FLD0114,2025-06-02,0.5385,0.9139,0.5932,2.7649,721.1352,,1.0000
FLD0116,2025-06-02,0.6599,0.7535,0.5039,2.1952,722.0393,0.0998,15.0000
FLD0117,2025-06-02,0.8653,0.7185,0.4716,1.8483,721.0887,0.0930,14.0000
FLD0118,2025-06-02,0.5943,0.8925,0.5920,2.8200,722.7231,0.0581,6.0000
FLD0120,2025-06-02,0.7297,0.7564,0.5449,2.4278,724.1416,0.0851,49.0000
FLD0121,2025-06-02,0.6558,0.7876,0.5407,2.3702,722.9655,0.0958,18.0000
FLD0122,2025-06-02,0.8837,0.7036,0.4702,1.8191,721.3207,0.1008,49.0000
FLD0123,2025-06-02,0.7015,0.8056,0.5455,2.4656,722.7931,0.0736,23.0000
FLD0124,2025-06-02,0.5928,0.7713,0.5265,2.3096,722.3220,0.0990,24.0000
FLD0125,2025-06-02,0.7481,0.7749,0.5193,2.2459,722.7223,0.0963,20.0000
FLD0126,2025-06-02,0.9924,0.4348,0.2852,0.8202,722.1155,0.0712,9.0000
FLD0127,2025-06-02,0.9324,0.7668,0.5309,2.2425,722.7470,0.1110,10.0000
FLD0134,2025-06-02,0.6927,0.6506,0.4619,1.7487,722.7120,0.0356,4.0000
FLD0137,2025-06-02,0.5346,0.6760,0.4821,1.7839,722.3382,0.0543,4.0000
FLD0386,2025-06-02,0.9864,0.5788,0.3978,1.2908,720.9099,0.0643,28.0000
FLD0397,2025-06-02,0.9278,0.6246,0.4316,1.4621,722.2256,0.0545,4.0000
FLD0399,2025-06-02,0.7213,0.6148,0.4657,1.9861,724.3416,0.0566,5.0000
FLD0401,2025-06-02,0.5417,0.5926,0.4184,1.7908,723.0572,0.1003,5.0000
FLD0403,2025-06-02,0.8261,0.4273,0.3123,0.8948,721.3390,0.0259,4.0000
FLD0007,2025-06-07,0.5656,0.7958,0.4536,1.4841,714.9095,0.0989,13.0000
FLD0023,2025-06-07,0.8571,0.8176,0.5521,1.9410,719.8102,,1.0000
FLD0036,2025-06-07,0.7049,0.8096,0.4780,1.4606,714.9603,0.0375,2.0000
FLD0037,2025-06-07,0.5484,0.8469,0.5219,1.7337,717.2159,0.0374,4.0000
FLD0038,2025-06-07,0.5504,0.8875,0.4879,1.5170,713.8106,0.0345,13.0000
FLD0040,2025-06-07,0.6014,0.8157,0.4858,1.4734,714.8249,0.0485,16.0000
FLD0050,2025-06-07,0.7105,0.7241,0.4424,1.3020,713.5772,0.0473,6.0000
FLD0051,2025-06-07,0.8889,0.6199,0.4799,1.7167,720.0434,0.0497,3.0000
FLD0053,2025-06-07,0.8222,0.5041,0.3612,1.0678,719.1349,0.0729,7.0000
FLD0072,2025-06-07,0.6290,0.8594,0.4836,1.4505,714.2042,0.0394,4.0000
FLD0073,2025-06-07,0.6154,0.8895,0.4713,1.3911,712.9934,,1.0000
FLD0100,2025-06-07,0.7500,0.9120,0.5307,1.8870,715.8529,,1.0000
FLD0139,2025-06-07,0.7857,0.6305,0.3745,0.9425,714.1487,,1.0000
FLD0141,2025-06-07,0.5714,0.8016,0.5551,2.1249,721.0307,0.1093,2.0000
FLD0164,2025-06-07,0.6875,0.7567,0.4930,1.4769,715.9834,,1.0000
FLD0165,2025-06-07,0.5048,0.7575,0.4743,1.4158,716.0514,0.0429,8.0000
FLD0169,2025-06-07,1.0000,0.8277,0.4283,1.1843,711.2132,,1.0000
FLD0177,2025-06-07,0.8963,0.5872,0.3383,0.9164,711.3434,0.0763,4.0000
FLD0178,2025-06-07,0.7143,0.2457,0.2315,0.4674,719.7585,,1.0000
FLD0179,2025-06-07,0.6196,0.6252,0.3930,1.0200,715.6867,0.0281,2.0000
FLD0180,2025-06-07,0.6000,0.8627,0.5274,1.5356,714.7155,,1.0000
FLD0188,2025-06-07,0.5382,0.8201,0.4488,1.3501,712.8538,0.0586,19.0000
FLD0189,2025-06-07,0.6000,0.7399,0.4629,1.3540,715.5046,0.0051,2.0000
FLD0194,2025-06-07,0.6479,0.7861,0.4705,1.6449,715.6674,0.0720,5.0000
FLD0198,2025-06-07,0.8000,0.1656,0.2068,0.4329,725.4884,,1.0000
FLD0203,2025-06-07,0.5574,0.6838,0.4052,1.2231,714.0570,0.1399,15.0000
FLD0207,2025-06-07,0.9231,0.6140,0.3866,1.0912,715.1336,0.0751,4.0000
FLD0208,2025-06-07,0.8000,0.5249,0.4781,1.6137,727.4722,,1.0000
FLD0209,2025-06-07,0.7000,0.5577,0.3474,1.0456,715.6423,0.1585,4.0000
FLD0214,2025-06-07,0.5000,0.6147,0.4657,1.4761,718.4456,,1.0000
FLD0216,2025-06-07,0.8903,0.6317,0.4409,1.2479,717.9110,0.0763,7.0000
FLD0221,2025-06-07,0.8333,0.4820,0.4184,1.4633,719.1681,,1.0000
FLD0223,2025-06-07,0.6364,0.8383,0.4916,1.5592,714.5884,,1.0000
FLD0226,2025-06-07,0.6033,0.7274,0.4662,1.3548,716.2846,0.0979,5.0000
FLD0230,2025-06-07,0.7273,0.7616,0.4504,1.3423,714.6630,,1.0000
FLD0231,2025-06-07,0.6988,0.8108,0.4645,1.4349,714.0650,0.0345,11.0000
FLD0238,2025-06-07,1.0000,0.2174,0.2996,0.8288,734.4890,,1.0000
FLD0245,2025-06-07,0.7308,0.8166,0.4773,1.3587,714.9920,0.0235,3.0000
FLD0246,2025-06-07,0.6452,0.7825,0.4713,1.3781,715.0961,0.0850,9.0000
FLD0259,2025-06-07,0.5387,0.5355,0.3251,0.9038,715.5767,0.1095,16.0000
FLD0268,2025-06-07,0.6000,0.7755,0.4522,1.2548,713.8963,0.0442,5.0000
FLD0275,2025-06-07,0.5606,0.8508,0.5437,1.9889,717.8699,0.0548,7.0000
FLD0284,2025-06-07,0.6303,0.8409,0.4908,1.5525,715.0660,0.0496,11.0000
FLD0286,2025-06-07,0.7527,0.5477,0.3385,1.0175,715.4770,,1.0000
FLD0291,2025-06-07,0.7746,0.8555,0.5475,1.8770,717.5984,,1.0000
FLD0300,2025-06-07,0.5329,0.5867,0.3981,1.2625,718.3454,0.0913,5.0000
FLD0304,2025-06-07,0.5652,0.7092,0.4393,1.3454,718.9514,0.1356,3.0000
FLD0310,2025-06-07,0.8837,0.8859,0.5324,1.7728,716.2521,,1.0000
FLD0321,2025-06-07,0.5562,0.7843,0.4847,1.4396,715.7122,,1.0000
FLD0334,2025-06-07,0.8217,0.6017,0.3213,0.7601,708.2446,0.0648,25.0000
FLD0337,2025-06-07,1.0000,0.7167,0.3740,0.8577,709.0818,0.0207,3.0000
FLD0338,2025-06-07,0.8511,0.5752,0.3258,0.8101,711.3454,0.1412,9.0000
FLD0339,2025-06-07,0.8618,0.6399,0.4051,1.0683,715.2901,0.1212,8.0000
FLD0340,2025-06-07,0.9000,0.6202,0.3798,1.0777,713.4716,0.1065,8.0000
FLD0341,2025-06-07,0.7623,0.5360,0.3178,0.8507,714.6040,0.0318,3.0000
FLD0346,2025-06-07,0.6154,0.9335,0.5191,1.7186,715.4159,0.0211,3.0000
FLD0348,2025-06-07,0.6667,0.2811,0.1907,0.4262,712.7276,0.0705,6.0000
FLD0353,2025-06-07,0.9346,0.6734,0.4189,1.2023,718.6532,0.0547,9.0000
FLD0354,2025-06-07,0.5769,0.5218,0.3409,1.0401,718.2456,0.0913,11.0000
FLD0355,2025-06-07,0.5400,0.3173,0.2154,0.4815,716.0384,0.0507,10.0000
FLD0356,2025-06-07,0.8330,0.6040,0.3636,1.0245,715.2292,0.1284,26.0000
FLD0357,2025-06-07,0.9595,0.5414,0.3301,0.8343,713.9191,0.1061,9.0000
FLD0358,2025-06-07,0.6296,0.4652,0.2768,0.7424,716.2258,0.0971,3.0000
FLD0359,2025-06-07,0.8333,0.3805,0.3068,0.8826,723.3799,0.1593,3.0000
FLD0360,2025-06-07,0.6667,0.4787,0.2957,0.7970,715.5118,0.1091,10.0000
FLD0361,2025-06-07,0.5600,0.5397,0.3352,1.0217,716.1850,0.1523,5.0000
FLD0367,2025-06-07,0.5012,0.7285,0.4817,1.4879,717.4042,0.0388,6.0000
FLD0374,2025-06-07,0.7910,0.6022,0.3477,0.8923,712.4016,0.1107,77.0000
FLD0377,2025-06-07,0.8409,0.7220,0.3761,0.9253,710.0218,,1.0000
FLD0378,2025-06-07,0.6883,0.4166,0.2651,0.6666,716.0599,0.1225,7.0000
FLD0379,2025-06-07,0.5814,0.7106,0.4167,1.3387,713.0932,0.1695,6.0000
FLD0382,2025-06-07,0.6667,0.6879,0.4087,1.2351,715.3404,0.0516,2.0000
FLD0383,2025-06-07,0.5649,0.6533,0.3712,1.0407,712.6728,0.0824,17.0000
FLD0388,2025-06-07,0.7333,0.5736,0.4021,1.1565,716.0087,,1.0000
FLD0392,2025-06-07,0.5234,0.7366,0.4599,1.4073,716.3326,0.0457,14.0000
FLD0423,2025-06-07,0.5000,0.8747,0.5237,1.7287,717.1090,,1.0000
FLD0426,2025-06-07,0.5734,0.7609,0.4730,1.4039,715.7496,0.0648,8.0000
FLD0432,2025-06-07,0.5660,0.8267,0.4987,1.6099,715.5684,,1.0000
FLD0446,2025-06-07,0.9062,0.7711,0.4907,1.4385,715.4141,0.0278,2.0000
FLD0449,2025-06-07,0.6076,0.8709,0.5523,1.9312,717.6079,,1.0000
FLD0458,2025-06-07,0.5000,0.8802,0.4997,1.7367,715.4874,,1.0000
FLD0036,2025-06-17,0.9180,0.7618,0.4256,1.1699,712.2513,0.0522,2.0000
FLD0050,2025-06-17,0.6316,0.7751,0.4477,1.4899,715.3666,0.0343,6.0000
FLD0051,2025-06-17,0.5556,0.5433,0.4435,1.3495,717.1294,,1.0000
FLD0139,2025-06-17,0.7143,0.5779,0.3669,1.0490,716.9879,,1.0000
FLD0178,2025-06-17,0.7857,0.1786,0.1997,0.4456,722.0097,0.0046,2.0000
FLD0189,2025-06-17,0.5000,0.8168,0.4771,1.5580,715.7837,0.0497,2.0000
FLD0198,2025-06-17,1.0000,0.0950,0.1847,0.4192,733.0616,,1.0000
FLD0207,2025-06-17,0.8462,0.6228,0.4236,1.3812,717.9582,0.0479,3.0000
FLD0209,2025-06-17,0.6500,0.5774,0.3563,1.1355,716.3299,0.1265,4.0000
FLD0214,2025-06-17,0.6250,0.7010,0.4871,1.6526,718.7601,,1.0000
FLD0216,2025-06-17,0.8839,0.6512,0.4144,1.2693,715.8031,0.0739,7.0000
FLD0221,2025-06-17,0.8333,0.5408,0.4652,1.7453,719.1411,,1.0000
FLD0228,2025-06-17,0.5349,0.7634,0.4468,1.4952,716.3387,0.0852,10.0000
FLD0230,2025-06-17,0.7273,0.7247,0.4757,1.6037,716.7538,,1.0000
FLD0238,2025-06-17,1.0000,0.2685,0.3215,0.9532,729.9192,,1.0000
FLD0281,2025-06-17,1.0000,0.6757,0.3945,1.1957,713.8906,0.0141,2.0000
FLD0295,2025-06-17,0.6061,0.6914,0.4389,1.4069,716.5502,0.0891,2.0000
FLD0296,2025-06-17,0.9474,0.8011,0.4967,1.7158,716.9470,0.0170,2.0000
FLD0297,2025-06-17,0.7037,0.8508,0.4880,1.7294,715.7413,0.0031,2.0000
FLD0298,2025-06-17,0.7463,0.7345,0.4501,1.4434,716.6763,0.0693,5.0000
FLD0304,2025-06-17,0.6087,0.6861,0.4410,1.4027,717.2718,0.0925,3.0000
FLD0325,2025-06-17,0.6154,0.8291,0.4422,1.3806,713.4162,0.0625,5.0000
FLD0330,2025-06-17,0.5045,0.6089,0.3812,1.1807,716.7354,0.0938,5.0000
FLD0334,2025-06-17,0.7442,0.6654,0.3460,0.9383,710.5262,0.0690,22.0000
FLD0388,2025-06-17,0.7667,0.5080,0.3633,1.1234,717.3154,,1.0000
FLD0408,2025-06-17,1.0000,0.6400,0.3846,1.0930,714.4705,,1.0000
FLD0432,2025-06-17,0.5283,0.7264,0.4846,1.6561,716.9363,,1.0000
FLD0446,2025-06-17,0.6250,0.9166,0.5339,1.8784,715.7005,0.0257,2.0000
FLD0466,2025-06-17,0.6000,0.7312,0.4540,1.5774,717.8784,0.0376,2.0000
FLD0468,2025-06-17,1.0000,0.6826,0.4241,1.2665,717.3312,0.1024,2.0000
FLD0023,2025-06-22,0.7857,0.7767,0.4880,1.9115,723.8007,,1.0000
FLD0036,2025-06-22,0.9508,0.6062,0.4089,1.0823,715.9833,0.0934,2.0000
FLD0050,2025-06-22,0.6974,0.6905,0.4670,1.6145,718.6050,0.0590,6.0000
FLD0051,2025-06-22,0.5556,0.5083,0.4691,1.5250,726.7632,,1.0000
FLD0207,2025-06-22,0.8462,0.5143,0.4055,1.3062,724.9915,0.0508,3.0000
FLD0208,2025-06-22,1.0000,0.5228,0.4065,1.2423,725.9821,0.0810,2.0000
FLD0209,2025-06-22,0.9500,0.4835,0.3642,1.0723,722.1060,0.0699,5.0000
FLD0214,2025-06-22,0.6250,0.5959,0.4950,1.7036,724.0121,,1.0000
FLD0216,2025-06-22,0.8903,0.6146,0.4365,1.3963,720.7879,0.0788,8.0000
FLD0221,2025-06-22,0.8333,0.4014,0.3954,1.5271,724.1821,,1.0000
FLD0223,2025-06-22,0.5455,0.8795,0.5523,2.0466,718.3246,,
FLD0230,2025-06-22,0.7273,0.6212,0.4246,1.3461,719.2855,,1.0000
FLD0268,2025-06-22,0.6585,0.7182,0.4350,1.4052,717.9510,0.0841,5.0000
FLD0277,2025-06-22,0.6402,0.5732,0.3967,1.4653,719.7398,0.1624,16.0000
FLD0341,2025-06-22,0.5000,0.5195,0.3290,0.9477,717.2104,0.0220,2.0000
FLD0374,2025-06-22,0.5347,0.5662,0.3452,0.9911,716.1529,0.1104,50.0000
FLD0433,2025-06-22,0.5909,0.8568,0.5341,1.8817,718.4700,,1.0000
FLD0036,2025-09-10,0.7377,0.8188,0.5390,2.0615,723.4415,0.0194,2.0000
FLD0072,2025-09-10,0.5403,0.5206,0.3783,1.1095,721.9095,0.0084,3.0000
FLD0073,2025-09-10,1.0000,0.6202,0.4435,1.4310,721.3103,0.0633,2.0000
FLD0091,2025-09-10,0.5439,0.8181,0.5724,2.4633,723.1794,0.0616,12.0000
FLD0129,2025-09-10,0.5385,0.6015,0.5291,2.3354,728.1805,0.1686,2.0000
FLD0163,2025-09-10,0.6585,0.6832,0.4837,1.9328,723.2440,,1.0000
FLD0165,2025-09-10,1.0000,0.5812,0.4326,1.4219,723.5131,0.0707,18.0000
FLD0166,2025-09-10,1.0000,0.4520,0.3494,0.9741,723.1336,0.0294,13.0000
FLD0167,2025-09-10,0.8794,0.5517,0.4248,1.5089,724.6639,0.1030,38.0000
FLD0168,2025-09-10,0.6037,0.6632,0.4721,1.8240,722.4002,0.0882,12.0000
FLD0169,2025-09-10,1.0000,0.3175,0.2554,0.6141,722.7702,,1.0000
FLD0172,2025-09-10,0.5152,0.8405,0.6192,3.3219,725.4633,0.0081,2.0000
FLD0173,2025-09-10,0.7626,0.6252,0.4458,1.7244,722.3513,0.1264,22.0000
FLD0174,2025-09-10,0.7037,0.7983,0.5618,2.5051,724.4691,0.1069,4.0000
FLD0177,2025-09-10,0.5793,0.6460,0.3808,1.3810,717.5474,0.1390,2.0000
FLD0180,2025-09-10,0.8400,0.7052,0.4913,1.7345,722.6551,,1.0000
FLD0230,2025-09-10,0.6364,0.5252,0.3503,1.0210,719.7699,,1.0000
FLD0231,2025-09-10,0.5088,0.6128,0.4177,1.3549,720.4950,0.0670,8.0000
FLD0245,2025-09-10,0.5769,0.8982,0.5522,2.1826,720.5507,0.0286,2.0000
FLD0294,2025-09-10,0.5417,0.5414,0.3926,1.1937,721.5645,0.1358,3.0000
FLD0295,2025-09-10,0.6061,0.8332,0.5388,2.1468,719.6826,0.0584,2.0000
FLD0321,2025-09-10,0.7640,0.6544,0.4553,1.6147,721.6071,,1.0000
FLD0344,2025-09-10,0.8571,0.7515,0.5176,2.0877,720.6000,0.1039,2.0000
FLD0361,2025-09-10,0.5333,0.4523,0.3477,1.4445,723.1412,0.1681,5.0000
FLD0363,2025-09-10,0.5667,0.7650,0.5545,2.3131,723.3469,0.0595,4.0000
FLD0365,2025-09-10,1.0000,0.7550,0.5691,2.5756,724.9707,0.0645,2.0000
FLD0366,2025-09-10,0.9677,0.6410,0.4733,1.7089,723.7749,0.0235,5.0000
FLD0379,2025-09-10,0.5581,0.8741,0.5239,1.9885,718.6998,0.0329,4.0000
FLD0402,2025-09-10,0.7130,0.7191,0.4761,1.9059,721.4812,0.1350,10.0000
FLD0403,2025-09-10,0.5217,0.8520,0.6371,3.4338,725.4884,0.0308,2.0000
FLD0404,2025-09-10,0.5714,0.8693,0.6081,2.8046,723.5145,0.0476,2.0000
FLD0405,2025-09-10,0.7000,0.7925,0.5598,2.4930,723.4815,0.0287,3.0000
FLD0407,2025-09-10,0.5000,0.8059,0.6078,2.9162,724.0604,0.0483,3.0000
FLD0408,2025-09-10,1.0000,0.6181,0.3861,1.1486,718.6605,,1.0000
FLD0409,2025-09-10,0.6957,0.7817,0.5469,2.1806,723.0825,,1.0000
FLD0442,2025-09-10,0.5156,0.7579,0.5286,2.0466,721.3611,,1.0000
FLD0445,2025-09-10,0.9048,0.7873,0.5566,2.2830,723.4798,0.0335,2.0000
FLD0446,2025-09-10,0.8750,0.7649,0.5710,2.7273,725.0925,0.1218,2.0000
FLD0447,2025-09-10,0.9804,0.6181,0.4473,1.5027,722.2988,0.0799,3.0000
FLD0051,2025-09-25,0.7778,0.5791,0.5411,2.1299,723.0426,0.0381,3.0000
FLD0202,2025-09-25,0.5000,0.6225,0.4419,1.5507,722.3138,0.1593,2.0000
FLD0207,2025-09-25,0.7692,0.4768,0.3374,0.8612,716.0672,0.0672,3.0000
FLD0214,2025-09-25,0.5000,0.7711,0.5908,2.5665,721.4445,,1.0000
FLD0221,2025-09-25,0.6667,0.4659,0.5006,2.9157,722.1563,,
FLD0238,2025-09-25,0.8000,0.0539,0.1947,0.5349,747.2167,,1.0000
FLD0359,2025-09-25,0.5556,0.3545,0.3429,0.9402,726.2433,0.0384,2.0000
FLD0069,2025-10-17,0.6000,0.6709,0.4526,1.5854,721.8639,0.0910,4.0000
FLD0177,2025-10-17,0.5488,0.6034,0.3239,0.9285,711.5714,0.1450,2.0000
FLD0178,2025-10-17,0.6429,0.1850,0.2293,0.4791,723.4482,,1.0000
FLD0198,2025-10-17,0.8000,0.1509,0.1884,0.4040,729.3065,,1.0000
FLD0207,2025-10-17,0.6923,0.5187,0.3747,1.1178,717.7054,0.1395,3.0000
FLD0214,2025-10-17,0.5000,0.8018,0.6501,3.5441,725.0366,,1.0000
FLD0359,2025-10-17,0.5556,0.2611,0.3552,1.1564,735.4836,0.2044,2.0000
FLD0408,2025-10-17,1.0000,0.4440,0.3564,0.9649,718.5257,,1.0000
FLD0053,2025-11-04,0.6667,0.4777,0.3505,1.0591,719.8128,0.1204,6.0000
FLD0097,2025-11-04,0.5887,0.7697,0.5021,1.9147,718.7224,0.0677,5.0000
FLD0139,2025-11-04,0.5714,0.6246,0.4411,1.3461,719.1053,,1.0000
FLD0142,2025-11-04,0.8000,0.9283,0.5643,2.3909,719.1215,,1.0000
FLD0297,2025-11-04,0.5926,0.8998,0.5766,2.1066,719.2536,0.0234,2.0000
FLD0405,2025-11-04,0.7000,0.6991,0.4143,1.4001,716.3816,0.0529,3.0000
FLD0446,2025-11-04,0.6250,0.9182,0.5656,1.8703,716.9280,0.0345,2.0000
FLD0063,2025-11-06,0.6188,0.6505,0.4544,1.5477,720.5952,0.0644,21.0000
FLD0064,2025-11-06,1.0000,0.4507,0.3218,0.9025,720.0391,0.0502,5.0000
FLD0141,2025-11-06,0.7143,0.8510,0.6194,3.0011,724.3304,,1.0000
FLD0176,2025-11-06,0.6812,0.4890,0.3482,0.8795,717.5995,0.1025,10.0000
FLD0177,2025-11-06,0.8659,0.5909,0.3630,1.1042,715.5509,0.1383,5.0000
FLD0194,2025-11-06,0.5493,0.8177,0.5393,2.1849,720.2621,0.0412,6.0000
FLD0207,2025-11-06,0.5385,0.5717,0.3430,1.1010,718.3856,0.1142,3.0000
FLD0235,2025-11-06,0.5465,0.6522,0.4336,1.6089,718.5673,0.0801,2.0000
FLD0238,2025-11-06,1.0000,0.3820,0.3706,1.1199,725.9087,,1.0000
FLD0293,2025-11-06,0.7045,0.7803,0.5304,2.0734,720.7899,0.1126,3.0000
FLD0294,2025-11-06,0.5556,0.7959,0.4932,1.7737,718.0278,0.0239,2.0000
FLD0325,2025-11-06,0.6667,0.8276,0.5138,1.7922,718.2739,0.0440,5.0000
FLD0348,2025-11-06,0.6585,0.5362,0.2921,0.8122,713.6949,0.0783,5.0000
FLD0352,2025-11-06,0.5437,0.5453,0.3853,1.4646,725.1698,0.1459,11.0000
FLD0353,2025-11-06,0.9065,0.5342,0.3486,1.1004,720.7748,0.1148,10.0000
FLD0354,2025-11-06,0.7436,0.4190,0.2844,0.8459,720.7487,0.1125,14.0000
FLD0355,2025-11-06,0.5533,0.3830,0.2643,0.7272,717.8312,0.0650,7.0000
FLD0357,2025-11-06,0.6216,0.7527,0.4464,1.5080,717.0097,0.1339,6.0000
FLD0358,2025-11-06,1.0000,0.3635,0.2668,0.7122,719.3117,0.0956,5.0000
FLD0359,2025-11-06,0.9444,0.4759,0.3711,1.1638,724.4549,0.0897,3.0000
FLD0360,2025-11-06,0.7889,0.4041,0.2698,0.7466,720.7400,0.0765,13.0000
FLD0361,2025-11-06,0.8267,0.4509,0.3420,1.1341,720.5689,0.1737,7.0000
FLD0362,2025-11-06,1.0000,0.6667,0.4418,1.4458,719.0566,0.0920,10.0000
FLD0363,2025-11-06,0.9333,0.7565,0.5115,1.9602,720.1904,0.0762,7.0000
FLD0377,2025-11-06,0.7614,0.7942,0.4277,1.3414,715.5258,0.2466,3.0000
FLD0383,2025-11-06,0.5361,0.6430,0.3896,1.2203,716.5623,0.0837,15.0000
FLD0396,2025-11-06,0.7467,0.7729,0.4896,1.7836,719.0964,0.0837,9.0000
FLD0417,2025-11-06,0.8529,0.6600,0.4311,1.3489,718.6097,0.0056,2.0000
FLD0418,2025-11-06,0.6053,0.7480,0.5062,1.8735,720.4245,,1.0000
FLD0419,2025-11-06,0.6875,0.6543,0.4421,1.4766,720.0673,0.0532,2.0000
FLD0421,2025-11-06,0.7407,0.6209,0.4776,1.6243,721.3616,,1.0000
FLD0441,2025-11-06,0.6923,0.7994,0.5112,1.9461,719.3636,,1.0000
FLD0442,2025-11-06,0.6562,0.7966,0.5159,1.9570,719.1459,0.0457,3.0000
FLD0443,2025-11-06,0.6768,0.7946,0.5111,1.9979,719.4314,0.0878,4.0000
FLD0446,2025-11-06,1.0000,0.5378,0.3916,1.0521,719.6912,0.0170,2.0000
FLD0447,2025-11-06,0.9412,0.7703,0.5089,1.8205,719.7748,0.0510,3.0000
FLD0177,2025-11-09,0.5793,0.5598,0.2903,0.8001,712.6628,0.1186,2.0000
FLD0178,2025-11-09,0.7143,0.3410,0.2533,0.5261,720.0865,,1.0000
FLD0198,2025-11-09,1.0000,0.1440,0.1798,0.4082,738.4477,,1.0000
FLD0207,2025-11-09,0.9231,0.5366,0.3875,1.1782,719.8266,0.0965,3.0000
FLD0214,2025-11-09,0.5000,0.7451,0.6536,3.3696,724.4724,,1.0000
FLD0219,2025-11-09,0.8800,0.7329,0.4552,1.2753,716.8032,0.0432,2.0000
FLD0220,2025-11-09,0.5556,0.7666,0.5216,1.5299,718.2402,,1.0000
FLD0221,2025-11-09,0.6667,0.5263,0.4431,1.8485,726.6875,,1.0000
FLD0230,2025-11-09,0.5455,0.5065,0.3753,1.1197,724.8172,,1.0000
FLD0238,2025-11-09,0.8000,0.2724,0.3143,1.0022,737.8402,,1.0000
FLD0253,2025-11-09,0.7243,0.5030,0.3079,0.6818,714.2240,0.0778,10.0000
FLD0256,2025-11-09,0.5037,0.4637,0.3210,1.0137,721.6912,0.0244,2.0000
FLD0334,2025-11-09,0.5581,0.5396,0.2611,0.7836,712.3080,0.1109,13.0000
FLD0337,2025-11-09,0.6000,0.3155,0.1667,0.4312,712.3218,0.0730,2.0000
FLD0353,2025-11-09,0.5140,0.5528,0.4128,1.6829,725.3494,0.0767,4.0000
FLD0358,2025-11-09,0.5926,0.4497,0.2424,0.7039,723.8043,0.1177,4.0000
FLD0359,2025-11-09,0.6111,0.3348,0.3535,1.8438,734.2535,0.2002,2.0000
FLD0446,2025-11-09,0.9062,0.6304,0.4587,1.3257,722.1583,0.0559,2.0000
FLD0053,2025-11-14,0.5333,0.4905,0.3270,1.1463,723.1358,0.1268,4.0000
FLD0139,2025-11-14,0.5714,0.6683,0.4085,1.4457,717.5879,,1.0000
FLD0177,2025-11-14,0.6585,0.5210,0.2639,0.6483,707.8432,,1.0000
FLD0178,2025-11-14,0.5000,0.4075,0.2640,0.6924,721.3098,,1.0000
FLD0189,2025-11-14,0.5000,0.6895,0.4377,1.2769,717.4181,,1.0000
FLD0198,2025-11-14,0.8000,0.4188,0.3634,1.4779,725.0405,,1.0000
FLD0202,2025-11-14,0.5000,0.6711,0.4774,1.7129,721.4863,,1.0000
FLD0207,2025-11-14,0.6923,0.4881,0.3192,0.9403,718.3492,0.0181,2.0000
