system:index,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,survey_no,.geo
0_000000000000000000d8,577.61,475.85,345.26,320.44,271.23,287.67,263.77,379.70,564.46,561.19,642.48,687.54,695.31,690.03,589.43,436.99,404.81,24.49,795.35,265.55,520.92,555.72,617.30,630.80,677.70,644.27,601.98,429.11,419.94,272.01,-12.21,435.20,183.84,463.61,520.10,713.05,710.80,682.22,595.52,524.21,461.62,554.79,282.02,167.16,168.50,689.44,492.22,534.10,519.17,557.71,584.34,564.54,582.67,474.62,495.22,516.51,684.14,629.56,493.79,589.01,497.42,498.20,451.73,484.18,523.03,510.09,79.39,118.46,740.39,437.00,662.66,790.24,1,"{""type"":""Polygon"",""coordinates"":[[[74.9165942900665,18.206812780702908],[74.9166433508819,18.20695553710682],[74.91687518533581,18.2077090555302],[74.91701790742167,18.20815504048106],[74.91693316619823,18.208181757753405],[74.91652292885416,18.208279839486522],[74.9160725496838,18.208431475628394],[74.91605024923709,18.20836014316921],[74.91574705206172,18.207807179162735],[74.91549737558942,18.207325578370337],[74.91561770917086,18.207236392159185],[74.91581841361287,18.207156191570288],[74.91596113662168,18.207098237223246],[74.916130530831,18.20696890157123],[74.91620635230014,18.206955486383805],[74.91637137537609,18.206937659462422],[74.91645156761065,18.20688862971998],[74.91651846877735,18.206835098994294],[74.9165942900665,18.206812780702908]]]}"
0_000000000000000000cd,626.72,514.38,557.42,519.83,448.71,482.72,598.43,596.40,678.52,734.57,960.24,888.49,859.62,702.08,329.34,579.09,542.35,238.06,344.56,72.97,356.83,727.23,472.31,515.96,862.92,653.80,581.74,514.63,483.84,62.18,-12.32,214.79,59.54,937.95,1257.67,1035.05,619.10,684.09,603.01,540.89,484.57,536.74,362.62,193.91,149.43,906.03,891.06,881.47,819.93,622.36,465.38,524.91,425.94,325.97,389.45,455.04,467.98,532.56,439.24,444.64,438.12,382.92,330.84,282.26,257.20,261.56,98.01,118.61,667.77,565.91,571.01,540.60,10,"{""type"":""Polygon"",""coordinates"":[[[74.91874804599111,18.20672360498704],[74.91895311739822,18.206741504931905],[74.91912705771138,18.20675488746434],[74.91916273775271,18.206759327731582],[74.91916719775733,18.207004559697435],[74.91915827774797,18.207454900344942],[74.91912259770567,18.207775991458323],[74.9190556976053,18.20753070116785],[74.91874804599111,18.20672360498704]]]}"
0_00000000000000000080,511.12,502.64,462.03,444.57,396.86,181.66,92.01,400.63,453.39,543.69,667.72,602.15,472.85,556.68,539.65,530.40,470.20,292.87,258.03,22.31,398.13,535.55,515.17,534.47,591.17,532.53,513.90,459.36,380.65,294.67,-19.54,57.84,13.89,516.27,520.19,539.68,686.50,562.73,471.71,454.58,409.97,435.65,396.92,157.40,100.86,586.41,435.57,545.15,526.40,501.07,497.48,525.53,487.18,357.62,386.78,416.91,475.67,538.61,570.99,546.34,471.43,425.32,380.21,341.34,313.88,410.15,313.30,18.91,698.03,631.40,678.91,718.07,100,"{""type"":""Polygon"",""coordinates"":[[[74.92351484152694,18.209626494216668],[74.92394290080541,18.209653230353137],[74.92394290080541,18.20965772602093],[74.92394290080541,18.209662221688788],[74.92394290080541,18.20966662920637],[74.92394736067946,18.209671128893085],[74.92394736067946,18.209680032079067],[74.92394736067946,18.20968443959698],[74.92395182055338,18.209688939284195],[74.92395182055338,18.20969343495267],[74.92395628042719,18.209697846489743],[74.92396074030087,18.209702346177256],[74.92396074030087,18.209706753695702],[74.92396520017444,18.209711253383443],[74.92396966004789,18.20971566492089],[74.9239741199212,18.209720164608786],[74.9239785797944,18.209720168627403],[74.92398303966746,18.20972458016494],[74.92398749954042,18.209729079852952],[74.92399195941326,18.209729083871327],[74.92400087915856,18.209733499427166],[74.92400533903101,18.209733503445236],[74.92400979890336,18.209733507463174],[74.92401425877559,18.209733511480984],[74.92402317851966,18.209733519516238],[74.92402763839151,18.209733523533675],[74.92403209826325,18.209733527550984],[74.92403655813487,18.209733531568165],[74.92404547787773,18.209733539602162],[74.92404993774896,18.209733543618974],[74.92437095896123,18.21076360135327],[74.9244869153428,18.211120276321985],[74.92428622155336,18.211008848613634],[74.92391614155855,18.21082604883454],[74.92359957933526,18.21072342615905],[74.92357282003213,18.210224029430325],[74.92351484152694,18.209626494216668]]]}"
0_00000000000000000081,333.25,308.28,272.00,257.35,222.15,215.25,73.84,321.38,292.80,354.92,446.88,418.19,356.88,316.18,284.21,274.82,267.53,280.63,179.05,65.67,306.58,416.68,414.91,395.85,384.36,323.80,307.96,271.29,264.86,248.50,-26.75,54.84,22.01,388.03,378.91,410.68,374.57,322.14,261.99,256.18,267.42,295.12,280.18,138.63,99.11,430.30,337.04,361.30,342.77,290.34,263.96,240.82,239.12,233.44,248.64,264.35,322.19,341.66,332.75,302.12,297.50,283.66,244.35,216.37,219.89,269.02,183.25,12.51,402.95,359.67,370.07,373.90,101,"{""type"":""Polygon"",""coordinates"":[[[74.92351484152694,18.209626494216668],[74.92357282003213,18.210224029430325],[74.92359957933526,18.21072342615905],[74.92356836014784,18.21071008710831],[74.92328738719229,18.210616392510765],[74.9231446705852,18.210598632702208],[74.92290392522585,18.210295360033466],[74.92297528365022,18.20969785507152],[74.92297974355071,18.209697859117963],[74.9229842034511,18.20969786316427],[74.92299312325146,18.20969787125651],[74.92299758315144,18.20969787530244],[74.92300204305133,18.209693383694706],[74.92300650295108,18.20969338774032],[74.92301542275023,18.20969339583116],[74.92301988264963,18.209688904222634],[74.92302434254889,18.209688908267673],[74.92302880244804,18.20968450480883],[74.92303326234706,18.20968001319971],[74.92303772224598,18.209675521590395],[74.92304218214475,18.209675525634722],[74.92304664204342,18.209671122175084],[74.92305110194195,18.209666630565177],[74.92305110194195,18.209662223061414],[74.92305556184037,18.2096577314513],[74.92306002173866,18.209653239840996],[74.92306002173866,18.209644336683574],[74.92306002173866,18.209639929179996],[74.92306448163684,18.209635437569485],[74.92306448163684,18.209630941915904],[74.92306448163684,18.209626534412457],[74.92306448163684,18.209622038759015],[74.92351484152694,18.209626494216668]]]}"
0_00000000000000000082,300.07,271.59,235.75,227.21,200.86,231.52,81.98,304.98,269.51,348.02,412.48,378.36,357.76,308.71,279.84,264.33,242.44,339.20,130.63,54.03,301.14,371.08,378.74,360.24,360.77,330.86,304.00,265.42,270.98,245.97,-38.35,61.23,63.04,355.13,464.83,361.54,355.51,311.46,254.07,244.63,245.47,251.49,216.98,152.58,10.87,339.62,323.14,338.37,327.27,289.29,252.64,228.46,222.53,214.44,232.19,250.54,310.79,323.33,340.65,287.24,298.14,288.36,241.40,214.27,204.47,230.48,128.30,28.16,358.16,327.69,321.38,328.55,102,"{""type"":""Polygon"",""coordinates"":[[[74.92290392522585,18.210295360033466],[74.92277012809606,18.210130397457043],[74.9223019264766,18.209546249090337],[74.92244018390535,18.209519489283092],[74.92272998893573,18.209559589478392],[74.92290392522585,18.209599767483525],[74.92290392522585,18.20960867063473],[74.92290392522585,18.209613166285436],[74.92290392522585,18.209617573786193],[74.92290392522585,18.20962206943703],[74.92290392522585,18.2096309725889],[74.92290392522585,18.20963546823995],[74.92290392522585,18.209639875741043],[74.92290838512828,18.20964437543983],[74.92290838512828,18.209648782941123],[74.9229128450306,18.209653282640126],[74.9229128450306,18.209657690141626],[74.92291730493278,18.209662189840852],[74.92292176483487,18.209666601390126],[74.92292622473681,18.209671101089523],[74.92292622473681,18.20967559674153],[74.92293068463864,18.2096800082911],[74.92293514454035,18.209684507990794],[74.9229440643434,18.209684516085385],[74.92294852424473,18.209688927635003],[74.92295298414597,18.209688931682056],[74.92295744404706,18.209693431381748],[74.92296190394802,18.209693435428616],[74.92297082374961,18.209697851024963],[74.92297528365022,18.20969785507152],[74.92290392522585,18.210295360033466]]]}"
0_0000000000000000008f,545.59,473.04,402.48,367.51,334.70,308.88,141.76,396.44,446.41,488.66,645.91,611.73,576.08,543.78,465.75,431.23,405.23,429.62,121.20,46.20,377.54,543.10,490.05,598.12,705.46,621.04,545.20,428.09,434.26,249.00,21.27,96.61,-2.94,504.97,608.11,568.01,596.16,559.86,448.56,388.43,344.77,397.81,309.90,222.11,251.94,558.65,500.34,502.96,513.69,496.33,446.47,387.20,331.44,321.93,291.29,259.63,402.46,495.04,526.56,613.91,608.94,545.29,465.48,414.08,365.67,367.43,153.36,72.65,495.78,426.09,490.39,509.35,103,"{""type"":""Polygon"",""coordinates"":[[[74.9233721251187,18.209452621265974],[74.92303326234706,18.209425876644026],[74.92256952139398,18.209372308517192],[74.9221904284649,18.2093144018091],[74.92121834097397,18.208030163056335],[74.92038004689391,18.206928786573986],[74.92023295696961,18.206732529024166],[74.92267647003995,18.206692390174393],[74.92301096285073,18.20668793034939],[74.92347916243658,18.206683494131994],[74.9234836223233,18.20669240119857],[74.9234836223233,18.20669689681415],[74.9234836223233,18.206701304280468],[74.9234836223233,18.20670579989619],[74.92348808220989,18.206710299497214],[74.92348808220989,18.2067147069638],[74.92349254209637,18.20672361403184],[74.92349700198272,18.2067281136333],[74.92350146186895,18.206732525085506],[74.92350592175507,18.206737024687133],[74.92351038164107,18.206741436139502],[74.92351484152694,18.206745935741292],[74.92351930141267,18.206745939726215],[74.9235237612983,18.20675035117868],[74.92353268106919,18.20675485476527],[74.92353714095445,18.206754858749825],[74.92354160083958,18.206754862734254],[74.9235460607246,18.206759274186716],[74.92355498049426,18.20675928215509],[74.92355944037891,18.206759286139086],[74.92347470254974,18.20818176791405],[74.9233721251187,18.209452621265974]]]}"
0_000000000000000000cc,654.79,540.44,530.12,518.73,401.52,478.23,366.43,555.30,725.29,711.91,750.19,777.89,759.38,654.93,605.04,555.34,580.36,480.89,121.22,55.17,458.58,710.72,784.26,857.62,855.68,628.89,608.03,554.44,513.89,102.49,-21.06,51.34,-3.72,768.07,839.49,829.06,689.86,711.77,605.03,454.99,465.43,503.28,356.92,229.45,83.13,829.11,863.82,839.06,778.77,765.72,594.19,583.15,631.82,509.35,499.86,490.06,651.71,738.55,731.88,799.14,759.82,722.23,581.65,562.51,410.98,322.59,177.47,146.07,673.45,571.44,621.33,822.90,104,"{""type"":""Polygon"",""coordinates"":[[[74.92000549806296,18.206679079372982],[74.92042464660221,18.2072185714186],[74.9218738628951,18.209086958730648],[74.92200320083238,18.20927421826457],[74.92124510066304,18.208788181948332],[74.91984047865787,18.20785623781252],[74.91930991784086,18.20672808252043],[74.91976028808678,18.206696843982996],[74.92000549806296,18.206679079372982]]]}"
0_000000000000000000c3,613.41,562.82,473.38,422.91,392.92,381.20,483.19,404.15,568.83,602.61,884.98,748.97,669.57,507.71,487.35,457.84,499.25,291.83,331.97,80.85,458.88,597.40,675.84,781.16,714.68,576.98,547.47,488.65,477.62,182.50,27.88,163.54,65.15,648.52,1235.28,600.15,536.86,544.05,488.04,444.08,426.73,447.55,311.36,255.48,209.96,697.09,692.64,579.13,609.90,585.43,512.23,444.06,435.28,396.59,421.39,447.02,551.36,700.45,593.37,730.16,686.99,596.10,312.68,268.91,317.56,349.28,131.33,127.14,575.39,504.93,566.62,655.43,105,"{""type"":""Polygon"",""coordinates"":[[[74.91891752651132,18.20538594347316],[74.91892644653383,18.205385951659522],[74.91893081734469,18.205385860471328],[74.91893527735563,18.2053858645642],[74.91893973736646,18.2053814612806],[74.91894865738776,18.205381469465568],[74.91895311739822,18.205376978033843],[74.91895757740856,18.205376982125944],[74.91896203741878,18.20537249069383],[74.91913597772245,18.20557768153269],[74.92000549806296,18.206679079372982],[74.91976028808678,18.206696843982996],[74.91930991784086,18.20672808252043],[74.91915381774311,18.20640708030442],[74.91892644653383,18.205515264104854],[74.91891752651132,18.205390350849232],[74.91891752651132,18.20538594347316]]]}"
0_00000000000000000189,616.79,513.58,451.53,461.02,408.16,257.61,236.45,436.34,601.69,651.75,805.52,804.47,790.70,718.17,614.20,614.34,519.44,438.67,85.06,33.73,481.74,703.45,601.54,749.70,820.11,599.79,591.49,506.47,531.14,277.03,8.25,54.54,3.21,727.50,785.85,757.96,676.73,557.63,495.57,460.32,427.28,424.96,396.08,252.07,228.11,685.44,570.40,573.86,515.84,543.06,536.84,503.02,486.27,317.37,279.86,241.10,576.73,733.09,698.27,762.23,736.11,653.81,218.69,281.27,310.67,353.73,148.75,89.91,639.76,477.08,534.13,552.08,106,"{""type"":""Polygon"",""coordinates"":[[[74.92256952139398,18.206308941151267],[74.92267647003995,18.206692390174393],[74.92023295696961,18.206732529024166],[74.9199921181174,18.206420440303592],[74.92093299321681,18.20637579935825],[74.92256952139398,18.206308941151267]]]}"
0_0000000000000000008d,396.01,353.37,278.75,252.89,239.52,193.60,120.59,288.89,273.11,311.44,410.75,435.91,407.04,358.38,282.79,284.79,269.14,399.83,20.61,37.42,211.55,375.96,413.35,403.80,451.63,353.17,326.92,319.70,274.75,288.99,65.10,74.29,57.55,365.60,461.64,521.18,378.62,364.27,257.90,236.78,233.65,176.82,212.27,385.16,379.35,418.65,353.84,409.69,375.44,357.89,290.28,264.21,195.60,158.45,119.32,78.89,283.25,366.60,414.77,425.46,420.96,397.65,292.41,243.04,167.59,195.22,83.67,17.42,353.99,260.12,378.78,399.74,107,"{""type"":""Polygon"",""coordinates"":[[[74.92299758315144,18.206300062248992],[74.92301096285073,18.20650070155735],[74.92301096285073,18.20668793034939],[74.92267647003995,18.206692390174393],[74.92256952139398,18.206308941151267],[74.92299758315144,18.206300062248992]]]}"
